fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,idema,nombre_estacion
2023-01-01,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"11,2","0,1","6,9",03:00,"15,4",14:10,22,"1,9","11,9",23:00,"4,7","946,0",00,"940,6",19,59,83,07:00,39,14:00,3196,Cuatro Vientos
2023-01-02,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,2","0,1","7,6",23:59,"12,8",Varias,10,"1,7","5,6",11:30,"4,1","947,0",24,"941,6",01,85,97,08:00,71,Varias,3196,Cuatro Vientos
2023-01-03,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"8,7","0,0","4,5",07:30,"12,9",15:20,8,"1,7","5,6",10:40,"8,3","952,5",23,"946,9",Varias,77,93,23:00,55,15:00,3196,Cuatro Vientos
2023-01-04,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"8,2","0,0","2,1",06:30,"14,4",15:00,27,"1,4","4,2",19:50,"8,8","954,3",10,"951,5",24,69,94,23:59,45,15:00,3196,Cuatro Vientos
2023-01-05,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"8,2","0,0","2,5",Varias,"14,0",15:30,12,"1,1","4,2",12:10,"8,9","951,5",00,"946,3",Varias,64,94,Varias,32,15:00,3196,Cuatro Vientos
2023-01-06,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,8","0,0","0,8",08:00,"12,7",14:50,23,"1,1","4,2",15:30,"8,7","947,0",10,"944,3",14,78,98,23:59,49,15:00,3196,Cuatro Vientos
2023-01-07,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,0","4,9","1,8",00:00,"8,2",23:59,22,"1,4","3,6",03:00,"0,0","945,2",09,"939,0",24,94,100,Varias,84,14:00,3196,Cuatro Vientos
2023-01-08,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,9","4,3","8,2",00:10,"13,6",13:30,22,"8,3","18,1",12:00,"0,0","939,0",00,"934,6",15,94,100,Varias,91,Varias,3196,Cuatro Vientos
2023-01-09,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"9,0","0,0","4,6",23:00,"13,4",Varias,26,"3,3","13,3",09:20,"8,8","948,2",24,"938,0",00,54,100,Varias,33,Varias,3196,Cuatro Vientos
2023-01-10,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,6",Ip,"2,2",08:20,"12,9",Varias,23,"1,7","7,8",19:50,"8,1","950,4",09,"948,0",01,83,100,Varias,67,12:00,3196,Cuatro Vientos
2023-01-11,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,9","0,2","4,8",23:59,"11,0",Varias,28,"1,4","4,7",01:50,"2,0","951,2",23,"946,8",04,94,100,Varias,81,15:00,3196,Cuatro Vientos
2023-01-12,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,9","0,0","1,6",07:30,"12,2",Varias,20,"1,4","4,2",20:00,"8,1","951,0",10,"947,0",23,81,100,Varias,58,13:00,3196,Cuatro Vientos
2023-01-13,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,7","0,0","3,2",Varias,"12,2",14:10,2,"1,4","4,7",05:50,"6,7","949,7",10,"946,2",01,78,100,Varias,58,14:00,3196,Cuatro Vientos
2023-01-14,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,4","0,0","0,8",05:10,"12,0",14:30,15,"0,8","4,2",14:20,"7,3","948,5",00,"943,8",24,86,100,Varias,68,14:00,3196,Cuatro Vientos
2023-01-15,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,8","0,0","3,5",03:30,"12,0",14:30,30,"3,3","12,8",15:00,"4,2","943,8",00,"941,3",14,80,100,Varias,43,23:59,3196,Cuatro Vientos
2023-01-16,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,0","0,7","1,7",04:10,"10,4",15:50,23,"9,2","20,6",16:50,"0,7","941,9",00,"925,9",24,77,98,Varias,43,00:00,3196,Cuatro Vientos
2023-01-17,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,4","0,0","2,2",23:59,"10,5",13:30,26,"8,9","20,6",17:20,"4,1","925,9",00,"921,4",06,66,97,07:00,43,14:00,3196,Cuatro Vientos
