fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,idema,nombre_estacion
2023-01-01,3129,MADRID AEROPUERTO,MADRID,609,"10,2","0,1","3,9",00:23,"16,4",13:59,23.0,"1,7","6,7",23:30,"3,3","958,5",00,"952,6",19,66,95.0,04:59,34.0,14:53,3129,Aeropuerto Barajas
2023-01-02,3129,MADRID AEROPUERTO,MADRID,609,"10,6","0,0","8,4",23:54,"12,9",14:10,23.0,"1,1","6,7",00:01,"1,1","959,1",Varias,"953,4",02,84,92.0,22:08,56.0,00:00,3129,Aeropuerto Barajas
2023-01-03,3129,MADRID AEROPUERTO,MADRID,609,"8,4","0,0","2,6",23:59,"14,2",14:37,24.0,"1,1","4,7",11:17,"8,5","965,0",Varias,"959,0",00,77,94.0,23:09,52.0,15:18,3129,Aeropuerto Barajas
2023-01-04,3129,MADRID AEROPUERTO,MADRID,609,"6,6","0,0","-0,8",06:44,"14,0",15:42,25.0,"1,1","3,6",Varias,"8,6","966,7",Varias,"963,7",17,77,98.0,08:05,50.0,15:23,3129,Aeropuerto Barajas
2023-01-05,3129,MADRID AEROPUERTO,MADRID,609,"6,5","0,0","-1,0",Varias,"14,0",15:30,99.0,"1,4","4,7",Varias,"8,6","964,1",00,"958,3",18,73,98.0,05:47,46.0,15:31,3129,Aeropuerto Barajas
2023-01-06,3129,MADRID AEROPUERTO,MADRID,609,"5,0","0,0","-1,7",07:24,"11,8",14:30,21.0,"1,9","6,1",18:56,"8,6","959,4",Varias,"956,1",16,77,98.0,Varias,55.0,14:51,3129,Aeropuerto Barajas
2023-01-07,3129,MADRID AEROPUERTO,MADRID,609,"2,7","5,7","-0,9",01:27,"6,3",Varias,99.0,"1,1","4,2",Varias,"0,0","957,6",Varias,"951,2",24,93,100.0,08:18,88.0,14:47,3129,Aeropuerto Barajas
2023-01-08,3129,MADRID AEROPUERTO,MADRID,609,"10,4","4,2","6,2",00:00,"14,5",12:41,22.0,"8,1","18,9",12:20,"0,1","951,2",00,"945,8",15,91,100.0,Varias,84.0,12:49,3129,Aeropuerto Barajas
2023-01-09,3129,MADRID AEROPUERTO,MADRID,609,"8,0","0,0","2,5",23:26,"13,6",13:55,27.0,"4,4","14,4",09:56,"8,6","960,4",Varias,"949,9",01,63,98.0,Varias,45.0,14:56,3129,Aeropuerto Barajas
2023-01-10,3129,MADRID AEROPUERTO,MADRID,609,"5,4","0,0","-0,5",07:38,"11,2",15:18,22.0,"1,7","6,7",20:36,"8,3","963,0",Varias,"960,1",15,87,97.0,08:43,70.0,15:23,3129,Aeropuerto Barajas
2023-01-11,3129,MADRID AEROPUERTO,MADRID,609,"6,0","0,0","2,4",23:46,"9,5",15:07,99.0,"1,4","4,7",Varias,"0,0","963,4",Varias,"958,9",05,92,99.0,22:32,86.0,15:30,3129,Aeropuerto Barajas
2023-01-12,3129,MADRID AEROPUERTO,MADRID,609,"5,7","0,0","-1,0",07:54,"12,4",15:05,34.0,"1,9","6,7",05:59,"7,8","963,4",Varias,"959,3",16,81,100.0,Varias,58.0,15:03,3129,Aeropuerto Barajas
2023-01-13,3129,MADRID AEROPUERTO,MADRID,609,"7,2","0,0","2,0",Varias,"12,4",15:37,21.0,"1,7","5,0",13:01,"7,5","962,0",Varias,"958,9",01,83,99.0,03:35,60.0,15:40,3129,Aeropuerto Barajas
2023-01-14,3129,MADRID AEROPUERTO,MADRID,609,"5,6",Ip,"-0,9",06:35,"12,2",14:47,19.0,"1,9","5,8",15:26,"7,7","961,0",00,"956,0",24,83,99.0,Varias,65.0,14:37,3129,Aeropuerto Barajas
2023-01-15,3129,MADRID AEROPUERTO,MADRID,609,"7,6","0,0","2,7",00:31,"12,6",14:46,35.0,"2,2","11,4",23:20,"3,3","956,1",00,"953,0",14,82,100.0,Varias,47.0,16:16,3129,Aeropuerto Barajas
2023-01-16,3129,MADRID AEROPUERTO,MADRID,609,"7,2","0,1","3,5",04:35,"10,9",16:17,23.0,"9,4","20,6",18:25,"0,0","953,7",00,"937,5",24,78,89.0,23:57,53.0,01:51,3129,Aeropuerto Barajas
2023-01-17,3129,MADRID AEROPUERTO,MADRID,609,"7,9","0,2","4,3",23:59,"11,5",12:15,26.0,"10,3","20,0",12:49,"4,5","937,5",00,"932,9",06,71,92.0,07:06,45.0,13:27,3129,Aeropuerto Barajas
2023-01-18,3129,MADRID AEROPUERTO,MADRID,609,"4,2","0,0","0,6",20:31,"7,8",13:02,28.0,"5,6","17,5",02:01,"6,2","950,5",Varias,"935,4",01,63,89.0,19:21,41.0,12:35,3129,Aeropuerto Barajas
2023-01-19,3129,MADRID AEROPUERTO,MADRID,609,"4,6","0,0","-0,2",Varias,"9,4",13:10,24.0,"5,0","18,9",16:00,"5,4","952,8",Varias,"945,8",22,69,88.0,23:14,49.0,12:05,3129,Aeropuerto Barajas
2023-01-20,3129,MADRID AEROPUERTO,MADRID,609,"10,2","0,1","5,4",05:12,"15,1",13:49,99.0,"1,7","7,2",Varias,"8,4","952,1",Varias,"946,0",01,66,97.0,05:16,43.0,16:09,3129,Aeropuerto Barajas
2023-01-21,3129,MADRID AEROPUERTO,MADRID,609,"5,7","0,0","0,8",07:13,"10,6",14:04,36.0,"3,3","10,8",19:42,"8,8","956,2",Varias,"951,5",02,63,99.0,08:35,34.0,15:36,3129,Aeropuerto Barajas
2023-01-22,3129,MADRID AEROPUERTO,MADRID,609,"4,1","0,0","-0,8",07:05,"9,0",14:25,35.0,"3,3","11,7",14:37,"9,0","957,5",Varias,"955,8",01,44,66.0,00:34,29.0,12:45,3129,Aeropuerto Barajas
2023-01-23,3129,MADRID AEROPUERTO,MADRID,609,"4,0","0,0","-1,8",06:18,"9,8",13:38,36.0,"4,7","14,4",16:45,"8,9","956,2",00,"951,2",15,55,76.0,23:58,39.0,13:53,3129,Aeropuerto Barajas
2023-01-24,3129,MADRID AEROPUERTO,MADRID,609,"2,2","0,0","-2,1",04:33,"6,6",12:39,4.0,"1,9","8,3",13:20,"3,0","958,2",Varias,"954,0",00,63,84.0,04:59,50.0,15:09,3129,Aeropuerto Barajas
2023-01-25,3129,MADRID AEROPUERTO,MADRID,609,"5,2","0,0","-1,2",Varias,"11,5",16:38,36.0,"3,1","11,7",Varias,"9,0","959,6",Varias,"955,7",16,57,80.0,05:49,36.0,16:23,3129,Aeropuerto Barajas
2023-01-26,3129,MADRID AEROPUERTO,MADRID,609,"5,8","0,0","1,2",03:43,"10,3",14:12,36.0,"5,0","12,5",12:01,"7,5","956,1",00,"947,8",14,56,76.0,03:49,39.0,15:13,3129,Aeropuerto Barajas
2023-01-27,3129,MADRID AEROPUERTO,MADRID,609,"3,0","0,0","-2,9",06:00,"8,9",11:30,36.0,"6,1","16,1",17:00,"5,2","950,5",20,"947,8",14,56,85.0,05:40,42.0,11:40,3129,Aeropuerto Barajas
2023-01-28,3129,MADRID AEROPUERTO,MADRID,609,"3,8","0,0","-3,4",07:58,"10,9",14:48,35.0,"3,3","13,1",11:00,"8,4","953,9",Varias,"950,0",14,57,83.0,08:17,36.0,15:21,3129,Aeropuerto Barajas
2023-01-29,3129,MADRID AEROPUERTO,MADRID,609,"1,6","0,0","-5,1",07:52,"8,3",15:47,4.0,"1,9","8,3",13:09,"9,1","959,0",Varias,"953,8",00,62,89.0,07:59,42.0,15:54,3129,Aeropuerto Barajas
2023-01-30,3129,MADRID AEROPUERTO,MADRID,609,"3,1","0,0","-4,5",07:01,"10,7",15:32,21.0,"1,4","5,0",14:32,"9,2","961,5",Varias,"958,7",14,65,90.0,06:27,36.0,16:10,3129,Aeropuerto Barajas
2023-01-31,3129,MADRID AEROPUERTO,MADRID,609,"3,8","0,0","-5,4",07:38,"13,1",15:21,99.0,"1,1","3,6",Varias,"9,1","961,8",Varias,"958,0",16,62,92.0,Varias,33.0,15:31,3129,Aeropuerto Barajas
2023-02-01,3129,MADRID AEROPUERTO,MADRID,609,"6,2","0,0","-2,8",Varias,"15,1",16:02,99.0,"2,5","5,0",05:13,"9,2","960,4",Varias,"957,0",16,57,88.0,02:36,34.0,16:01,3129,Aeropuerto Barajas
2023-02-02,3129,MADRID AEROPUERTO,MADRID,609,"6,3","0,0","-2,7",06:05,"15,3",15:49,99.0,"0,8","3,6",Varias,"9,2","962,8",Varias,"959,6",00,59,91.0,Varias,33.0,15:20,3129,Aeropuerto Barajas
2023-02-03,3129,MADRID AEROPUERTO,MADRID,609,"7,0","0,0","-3,5",06:44,"17,4",15:55,19.0,"1,1","4,7",18:19,"9,4","964,4",Varias,"961,6",16,54,93.0,04:57,24.0,14:53,3129,Aeropuerto Barajas
2023-02-04,3129,MADRID AEROPUERTO,MADRID,609,"8,2","0,0","-3,6",06:51,"19,9",16:09,99.0,"1,7","6,7",18:36,"9,5","963,8",Varias,"960,0",16,51,86.0,07:08,21.0,15:39,3129,Aeropuerto Barajas
2023-02-05,3129,MADRID AEROPUERTO,MADRID,609,"9,2","0,0","-1,7",03:05,"20,0",15:08,99.0,"1,4","5,0",Varias,"9,6","963,9",Varias,"959,3",24,35,71.0,03:06,15.0,14:12,3129,Aeropuerto Barajas
