fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,idema,nombre_estacion
2022-01-01,3129,MADRID AEROPUERTO,MADRID,609,"8,4","0,0","-0,3",08:10,"17,2",15:01,35.0,"0,8","4,2",20:40,"8,0","962,2",Varias,"959,4",14,74,97.0,06:36,42.0,14:36,3129,Aeropuerto Barajas
2022-01-02,3129,MADRID AEROPUERTO,MADRID,609,"7,2","0,0","-0,1",06:52,"14,5",14:28,99.0,"0,8","4,2",Varias,"5,8","963,1",Varias,"959,9",16,80,95.0,07:59,55.0,14:21,3129,Aeropuerto Barajas
2022-01-03,3129,MADRID AEROPUERTO,MADRID,609,"7,8","0,0","1,1",06:18,"14,5",15:08,21.0,"1,4","5,0",19:17,"7,0","961,0",00,"953,6",24,79,97.0,Varias,62.0,13:43,3129,Aeropuerto Barajas
2022-01-04,3129,MADRID AEROPUERTO,MADRID,609,"6,6","5,8","0,4",05:37,"12,8",14:41,24.0,"4,2","18,1",15:56,"0,1","953,6",00,"941,7",15,85,98.0,Varias,65.0,22:28,3129,Aeropuerto Barajas
2022-01-05,3129,MADRID AEROPUERTO,MADRID,609,"6,8","5,7","3,5",23:58,"10,1",13:27,28.0,"2,5","11,4",02:41,"3,1","951,8",Varias,"947,7",21,75,96.0,21:52,52.0,14:06,3129,Aeropuerto Barajas
2022-01-06,3129,MADRID AEROPUERTO,MADRID,609,"3,6","0,0","-1,3",07:36,"8,5",15:22,22.0,"1,1","5,0",14:53,"8,0","954,8",Varias,"948,5",00,82,98.0,Varias,57.0,15:29,3129,Aeropuerto Barajas
2022-01-07,3129,MADRID AEROPUERTO,MADRID,609,"4,2","0,0","-2,3",05:59,"10,8",14:12,99.0,"3,9","10,3",Varias,"8,4","962,0",Varias,"954,6",00,71,96.0,07:30,48.0,14:49,3129,Aeropuerto Barajas
2022-01-08,3129,MADRID AEROPUERTO,MADRID,609,"2,2","0,0","-3,1",06:11,"7,6",15:11,99.0,"1,9","7,8",Varias,"2,5","962,0",Varias,"955,8",22,80,96.0,08:36,68.0,15:15,3129,Aeropuerto Barajas
2022-01-09,3129,MADRID AEROPUERTO,MADRID,609,"5,8","0,0","-2,2",05:08,"13,8",13:18,99.0,"5,8","15,0",Varias,"5,2","956,8",00,"952,5",15,73,97.0,08:15,55.0,13:24,3129,Aeropuerto Barajas
2022-01-10,3129,MADRID AEROPUERTO,MADRID,609,"10,4","0,0","4,8",07:49,"15,9",12:59,35.0,"2,2","11,4",15:47,"7,1","955,5",Varias,"952,1",02,74,97.0,09:47,53.0,15:19,3129,Aeropuerto Barajas
