fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,idema,nombre_estacion
2023-02-16,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",4.0,"1,4","6,7",14:20,3194U,Ciudad Universitaria
2023-02-17,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",7.0,"1,9","6,7",09:30,3194U,Ciudad Universitaria
2023-02-18,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",6.0,"2,5","6,1",06:00,3194U,Ciudad Universitaria
2023-02-19,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",6.0,"1,9","5,8",09:10,3194U,Ciudad Universitaria
2023-02-20,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",11.0,"1,7","6,7",15:40,3194U,Ciudad Universitaria
2023-02-21,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",5.0,"0,8","5,0",09:10,3194U,Ciudad Universitaria
2023-02-22,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22.0,"1,1","5,0",17:40,3194U,Ciudad Universitaria
2023-02-23,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",29.0,"2,8","13,9",17:50,3194U,Ciudad Universitaria
2023-02-24,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",23.0,"0,6","6,1",15:50,3194U,Ciudad Universitaria
2023-02-25,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",2.0,"1,1","8,9",17:00,3194U,Ciudad Universitaria
2023-02-26,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",4.0,"0,6","8,3",23:10,3194U,Ciudad Universitaria
2023-02-27,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",6.0,"2,5","10,3",20:10,3194U,Ciudad Universitaria
2023-02-28,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",3.0,"1,9","9,2",15:20,3194U,Ciudad Universitaria
2023-03-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",31.0,"1,4","7,2",17:10,3194U,Ciudad Universitaria
2023-03-02,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",24.0,"1,7","5,6",14:30,3194U,Ciudad Universitaria
2023-03-03,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",4.0,"1,1","7,5",20:20,3194U,Ciudad Universitaria
2023-03-04,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",25.0,"0,6","5,3",13:30,3194U,Ciudad Universitaria
2023-03-05,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"3,2",23.0,"1,1","7,8",15:30,3194U,Ciudad Universitaria
2023-03-09,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,3",24.0,"3,9","17,8",14:20,3194U,Ciudad Universitaria
2023-03-10,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",25.0,"1,7","10,8",01:40,3194U,Ciudad Universitaria
2023-03-11,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",28.0,"3,1","11,1",15:10,3194U,Ciudad Universitaria
2023-03-12,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",28.0,"0,8","6,7",00:10,3194U,Ciudad Universitaria
