fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,idema,nombre_estacion,dir,velmedia,racha,horaracha
2022-02-06,3195,"MADRID, RETIRO",MADRID,667,"8,4","0,0","3,6",07:50,"13,2",Varias,"951,1",23,"947,8",01,39.0,53.0,00:30,30.0,Varias,3195,Madrid Retiro,,,,
2022-02-07,3195,"MADRID, RETIRO",MADRID,667,"9,8","0,0","2,8",05:30,"16,8",16:20,"951,7",10,"947,4",17,42.0,72.0,05:50,25.0,13:10,3195,Madrid Retiro,,,,
2022-02-08,3195,"MADRID, RETIRO",MADRID,667,"10,4","0,0","5,2",07:20,"15,7",16:20,"952,4",11,"949,3",Varias,45.0,61.0,Varias,36.0,Varias,3195,Madrid Retiro,,,,
2022-02-09,3195,"MADRID, RETIRO",MADRID,667,"10,0","0,0","5,2",07:30,"14,8",15:00,"952,1",Varias,"949,1",17,51.0,73.0,08:10,34.0,15:50,3195,Madrid Retiro,,,,
2022-02-10,3195,"MADRID, RETIRO",MADRID,667,"9,6","0,0","3,7",07:40,"15,5",15:50,"950,6",09,"946,8",17,57.0,76.0,04:00,38.0,15:50,3195,Madrid Retiro,,,,
2022-02-11,3195,"MADRID, RETIRO",MADRID,667,"11,0","0,0","5,2",07:00,"16,7",15:30,"948,4",10,"945,2",16,57.0,84.0,06:40,33.0,15:50,3195,Madrid Retiro,,,,
2022-02-12,3195,"MADRID, RETIRO",MADRID,667,"10,8","0,0","6,9",07:10,"14,8",15:30,"946,2",Varias,"942,8",17,51.0,76.0,03:00,36.0,13:30,3195,Madrid Retiro,,,,
2022-02-13,3195,"MADRID, RETIRO",MADRID,667,"9,9","1,0","6,6",05:30,"13,2",13:00,"944,3",00,"938,1",19,67.0,87.0,07:30,49.0,13:40,3195,Madrid Retiro,,,,
2022-02-14,3195,"MADRID, RETIRO",MADRID,667,"8,5","0,0","5,1",07:30,"11,9",16:00,"945,5",24,"937,5",02,57.0,91.0,Varias,36.0,16:00,3195,Madrid Retiro,,,,
2022-02-15,3195,"MADRID, RETIRO",MADRID,667,"7,4","0,0","2,1",07:30,"12,8",14:50,"949,5",11,"945,5",00,55.0,87.0,07:30,31.0,13:30,3195,Madrid Retiro,,,,
2022-02-16,3195,"MADRID, RETIRO",MADRID,667,"9,8","0,0","4,7",07:30,"14,8",13:20,"950,2",10,"947,6",15,60.0,79.0,22:50,48.0,13:30,3195,Madrid Retiro,,,,
2022-02-17,3195,"MADRID, RETIRO",MADRID,667,"10,8","0,0","4,8",06:30,"16,9",16:10,"950,1",08,"943,9",24,65.0,89.0,04:30,43.0,15:30,3195,Madrid Retiro,,,,
2022-02-18,3195,"MADRID, RETIRO",MADRID,667,"11,8","0,0","5,6",07:10,"18,1",16:00,"943,9",00,"937,4",17,64.0,86.0,07:20,44.0,16:30,3195,Madrid Retiro,,,,
2022-02-19,3195,"MADRID, RETIRO",MADRID,667,"9,2","0,0","5,5",23:59,"12,9",14:40,"948,6",24,"938,6",00,47.0,72.0,03:30,40.0,Varias,3195,Madrid Retiro,,,,
2022-02-20,3195,"MADRID, RETIRO",MADRID,667,"8,0","0,0","1,9",07:00,"14,1",15:30,"951,6",Varias,"948,3",17,49.0,71.0,06:30,34.0,13:30,3195,Madrid Retiro,,,,
2022-02-21,3195,"MADRID, RETIRO",MADRID,667,"11,0","0,0","4,6",05:30,"17,5",16:10,"951,4",24,"947,4",00,46.0,80.0,05:30,22.0,21:30,3195,Madrid Retiro,,,,
2022-02-22,3195,"MADRID, RETIRO",MADRID,667,"12,5","0,0","5,5",06:30,"19,5",15:50,"951,6",00,"947,5",17,22.0,40.0,06:20,14.0,12:30,3195,Madrid Retiro,,,,
2022-02-23,3195,"MADRID, RETIRO",MADRID,667,"12,2","0,0","6,6",05:50,"17,9",16:40,"948,4",00,"941,8",20,31.0,49.0,06:00,20.0,16:20,3195,Madrid Retiro,,,,
2022-02-24,3195,"MADRID, RETIRO",MADRID,667,"11,4","0,3","6,6",07:40,"16,1",15:50,"944,0",11,"940,8",16,38.0,54.0,23:59,30.0,00:00,3195,Madrid Retiro,,,,
2022-02-25,3195,"MADRID, RETIRO",MADRID,667,"8,8","3,9","6,6",09:00,"11,0",00:00,"946,6",11,"943,0",01,75.0,91.0,11:30,54.0,00:00,3195,Madrid Retiro,,,,
2022-02-26,3195,"MADRID, RETIRO",MADRID,667,"8,2","3,4","6,7",08:30,"9,6",16:40,"944,3",00,"941,6",Varias,86.0,96.0,09:10,70.0,00:30,3195,Madrid Retiro,,,,
2022-02-27,3195,"MADRID, RETIRO",MADRID,667,"10,1","0,1","7,1",03:40,"13,1",16:00,"945,1",Varias,"942,7",16,71.0,87.0,Varias,56.0,Varias,3195,Madrid Retiro,,,,
2022-02-28,3195,"MADRID, RETIRO",MADRID,667,"11,0","0,0","5,5",06:30,"16,5",16:10,"948,6",10,"945,1",00,61.0,91.0,Varias,43.0,16:10,3195,Madrid Retiro,,,,
2022-03-01,3195,"MADRID, RETIRO",MADRID,667,"11,0","0,0","4,8",07:20,"17,2",13:50,"948,3",09,"944,5",17,57.0,89.0,07:20,32.0,16:00,3195,Madrid Retiro,,,,
2022-03-02,3195,"MADRID, RETIRO",MADRID,667,"12,0","0,0","8,1",07:20,"15,9",13:40,"944,7",00,"942,2",18,56.0,85.0,07:30,37.0,Varias,3195,Madrid Retiro,,,,
2022-03-03,3195,"MADRID, RETIRO",MADRID,667,"8,1","18,2","5,5",23:50,"10,7",00:00,"943,1",00,"933,9",20,89.0,98.0,Varias,56.0,00:00,3195,Madrid Retiro,,,,
2022-03-04,3195,"MADRID, RETIRO",MADRID,667,"9,4","0,0","5,5",00:00,"13,2",14:30,"941,4",21,"935,6",01,52.0,88.0,00:00,38.0,14:30,3195,Madrid Retiro,,,,
