fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,idema,nombre_estacion
2025-01-01,3129,MADRID AEROPUERTO,MADRID,609,"4,6","0,0","-2,9",06:42,"12,2",13:56,16,"0,8","5,0",15:12,"8,4","962,6",Varias,"959,6",14,77,98,08:37,51,13:58,3129,Aeropuerto Barajas
2025-01-02,3129,MADRID AEROPUERTO,MADRID,609,"5,0",Ip,"-2,0",06:13,"11,9",14:11,21,"1,9","7,8",14:53,"7,3","961,2",Varias,"957,7",15,77,100,Varias,52,15:42,3129,Aeropuerto Barajas
2025-01-03,3129,MADRID AEROPUERTO,MADRID,609,"3,8","0,1","-1,5",06:04,"9,0",15:01,24,"1,7","5,0",14:59,"1,6","958,9",Varias,"956,3",14,88,100,Varias,69,15:05,3129,Aeropuerto Barajas
2025-01-04,3129,MADRID AEROPUERTO,MADRID,609,"3,5",Ip,"0,0",00:43,"7,0",15:45,31,"0,6","3,6",05:12,"0,0","957,3",Varias,"952,2",24,97,100,Varias,86,15:50,3129,Aeropuerto Barajas
2025-01-05,3129,MADRID AEROPUERTO,MADRID,609,"7,8","1,1","4,7",03:16,"10,8",13:14,16,"3,1","10,8",17:22,"0,0","952,2",00,"939,9",24,84,100,Varias,69,20:10,3129,Aeropuerto Barajas
2025-01-06,3129,MADRID AEROPUERTO,MADRID,609,"8,8",Ip,"6,1",21:56,"11,6",14:02,28,"5,3","16,1",13:35,"2,5","948,9",Varias,"938,0",06,68,99,01:52,51,16:21,3129,Aeropuerto Barajas
2025-01-07,3129,MADRID AEROPUERTO,MADRID,609,"6,3","0,0","2,9",02:19,"9,7",12:09,22,"4,4","16,1",16:18,"2,2","954,2",Varias,"948,9",00,70,85,23:52,58,00:10,3129,Aeropuerto Barajas
2025-01-08,3129,MADRID AEROPUERTO,MADRID,609,"9,8","0,2","7,5",08:45,"12,2",13:59,21,"5,8","15,3",14:21,"0,1","954,0",00,"949,2",17,74,100,Varias,56,14:02,3129,Aeropuerto Barajas
2025-01-09,3129,MADRID AEROPUERTO,MADRID,609,"11,0",Ip,"7,0",23:55,"14,9",13:39,22,"5,6","16,1",11:04,"7,1","957,7",Varias,"950,6",00,81,100,00:00,66,13:43,3129,Aeropuerto Barajas
2025-01-10,3129,MADRID AEROPUERTO,MADRID,609,"9,8",Ip,"5,4",02:33,"14,3",14:53,25,"1,1","7,8",11:25,"3,4","960,2",Varias,"957,3",01,85,100,Varias,64,14:59,3129,Aeropuerto Barajas
2025-01-11,3129,MADRID AEROPUERTO,MADRID,609,"13,6","0,0","7,3",00:17,"19,9",15:36,36,"2,5","9,7",16:17,"7,3","960,0",Varias,"956,4",08,73,100,Varias,42,Varias,3129,Aeropuerto Barajas
2025-01-12,3129,MADRID AEROPUERTO,MADRID,609,"9,0","0,0","2,7",07:04,"15,2",14:40,33,"2,2","12,8",16:27,"6,9","962,0",Varias,"958,5",16,53,80,08:41,32,15:11,3129,Aeropuerto Barajas
2025-01-13,3129,MADRID AEROPUERTO,MADRID,609,"4,1","0,0","-5,1",07:55,"13,3",14:59,21,"1,7","6,7",12:11,"8,8","960,3",Varias,"957,1",16,44,88,06:14,17,14:47,3129,Aeropuerto Barajas
2025-01-14,3129,MADRID AEROPUERTO,MADRID,609,"4,0","0,0","-4,8",08:09,"12,9",15:34,99,"1,1","4,7",Varias,"8,8","963,3",Varias,"960,1",00,40,70,23:57,18,15:56,3129,Aeropuerto Barajas
2025-01-15,3129,MADRID AEROPUERTO,MADRID,609,"2,8","0,0","-7,1",08:03,"12,8",15:49,21,"1,1","4,7",16:32,"8,8","961,1",00,"955,6",24,49,86,08:34,21,15:40,3129,Aeropuerto Barajas
2025-01-16,3129,MADRID AEROPUERTO,MADRID,609,"5,4","0,0","-3,8",Varias,"14,6",14:18,7,"1,7","7,2",15:51,"8,4","958,6",Varias,"952,2",14,57,82,Varias,28,14:24,3129,Aeropuerto Barajas
2025-01-17,3129,MADRID AEROPUERTO,MADRID,609,"6,0","0,0","-0,4",05:37,"12,4",14:48,8,"3,1","8,3",10:34,"8,7","961,6",Varias,"958,4",02,59,84,Varias,41,13:32,3129,Aeropuerto Barajas
2025-01-18,3129,MADRID AEROPUERTO,MADRID,609,"4,4","0,0","-3,4",Varias,"12,1",14:47,27,"1,1","5,8",10:12,"8,8","960,1",00,"954,8",17,64,96,08:42,36,15:31,3129,Aeropuerto Barajas
