fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,idema,nombre_estacion
2023-01-01,3195,"MADRID, RETIRO",MADRID,667,"11,3","0,1","7,8",05:30,"14,8",14:40,28,"1,1","7,5",23:50,"948,3",00,"942,8",19,51.0,66.0,Varias,35.0,14:20,3195,Madrid Retiro
2023-01-02,3195,"MADRID, RETIRO",MADRID,667,"10,4","0,0","9,0",Varias,"11,8",14:40,99,"1,4","5,3",Varias,"949,1",24,"943,8",02,84.0,93.0,08:30,58.0,00:00,3195,Madrid Retiro
2023-01-03,3195,"MADRID, RETIRO",MADRID,667,"9,0","0,0","5,9",Varias,"12,1",14:30,4,"1,7","5,6",06:50,"954,8",23,"948,9",01,78.0,91.0,21:10,57.0,16:10,3195,Madrid Retiro
2023-01-04,3195,"MADRID, RETIRO",MADRID,667,"7,4","0,0","3,1",07:30,"11,6",15:00,6,"0,6","4,2",Varias,"956,6",10,"953,8",24,69.0,86.0,04:00,45.0,15:40,3195,Madrid Retiro
2023-01-05,3195,"MADRID, RETIRO",MADRID,667,"7,3","0,0","3,0",06:30,"11,6",14:40,5,"0,8","5,0",03:10,"953,8",00,"948,4",18,65.0,83.0,Varias,46.0,15:50,3195,Madrid Retiro
2023-01-06,3195,"MADRID, RETIRO",MADRID,667,"6,2","0,0","1,9",07:00,"10,5",16:00,22,"1,1","4,4",18:30,"949,3",10,"946,3",16,78.0,95.0,23:40,52.0,15:50,3195,Madrid Retiro
2023-01-07,3195,"MADRID, RETIRO",MADRID,667,"5,2","6,3","2,5",01:00,"7,9",23:20,9,"0,8","3,3",07:30,"947,6",11,"941,4",24,94.0,99.0,Varias,88.0,14:00,3195,Madrid Retiro
2023-01-08,3195,"MADRID, RETIRO",MADRID,667,"10,4","4,2","7,7",00:00,"13,2",13:50,23,"3,9","16,9",12:30,"941,4",00,"936,7",17,96.0,99.0,Varias,92.0,Varias,3195,Madrid Retiro
2023-01-09,3195,"MADRID, RETIRO",MADRID,667,"9,3","0,0","5,9",23:30,"12,7",13:50,29,"2,5","10,3",12:40,"950,4",24,"940,3",01,64.0,99.0,Varias,44.0,14:00,3195,Madrid Retiro
2023-01-10,3195,"MADRID, RETIRO",MADRID,667,"7,0","0,0","3,4",06:50,"10,5",16:20,28,"1,7","5,3",20:10,"952,9",10,"950,3",00,83.0,98.0,23:30,72.0,13:50,3195,Madrid Retiro
2023-01-11,3195,"MADRID, RETIRO",MADRID,667,"7,0","0,1","4,9",23:00,"9,2",15:00,25,"1,1","4,4",02:10,"953,4",23,"948,9",05,96.0,99.0,Varias,89.0,15:40,3195,Madrid Retiro
2023-01-12,3195,"MADRID, RETIRO",MADRID,667,"6,2","0,0","1,7",08:10,"10,6",15:30,22,"1,4","3,9",14:10,"953,4",10,"949,3",24,80.0,99.0,Varias,60.0,15:50,3195,Madrid Retiro
2023-01-13,3195,"MADRID, RETIRO",MADRID,667,"7,4","0,0","3,7",00:10,"11,1",15:50,7,"1,1","4,2",09:00,"951,9",11,"948,7",04,79.0,99.0,Varias,60.0,14:40,3195,Madrid Retiro
2023-01-14,3195,"MADRID, RETIRO",MADRID,667,"6,0","0,0","1,8",08:20,"10,3",15:00,10,"0,8","3,3",01:10,"950,9",00,"946,0",24,87.0,99.0,Varias,70.0,14:50,3195,Madrid Retiro
2023-01-15,3195,"MADRID, RETIRO",MADRID,667,"7,8","0,0","4,3",01:20,"11,2",13:50,27,"3,1","11,1",15:00,"946,0",00,"943,1",14,75.0,99.0,Varias,45.0,15:20,3195,Madrid Retiro
2023-01-16,3195,"MADRID, RETIRO",MADRID,667,"6,5","0,4","2,9",04:50,"10,1",16:30,26,"5,6","16,1",23:50,"944,0",00,"928,0",24,83.0,93.0,10:00,52.0,01:10,3195,Madrid Retiro
2023-01-17,3195,"MADRID, RETIRO",MADRID,667,"6,4","0,2","2,8",23:59,"9,9",Varias,28,"5,3","18,1",07:50,"928,0",00,"923,5",06,67.0,97.0,06:40,45.0,11:00,3195,Madrid Retiro
2023-01-18,3195,"MADRID, RETIRO",MADRID,667,"4,0","0,0","2,1",05:00,"5,9",13:30,28,"3,3","13,9",07:50,"940,9",24,"925,9",02,62.0,83.0,00:20,44.0,13:40,3195,Madrid Retiro
2023-01-19,3195,"MADRID, RETIRO",MADRID,667,"4,4","0,3","1,2",04:30,"7,7",15:50,27,"3,3","11,1",13:00,"943,2",10,"936,4",22,67.0,91.0,23:59,51.0,12:00,3195,Madrid Retiro
2023-01-20,3195,"MADRID, RETIRO",MADRID,667,"10,2","0,0","6,6",02:50,"13,7",13:40,25,"3,1","9,7",00:30,"942,4",21,"936,3",01,57.0,94.0,Varias,42.0,13:30,3195,Madrid Retiro
2023-01-21,3195,"MADRID, RETIRO",MADRID,667,"6,6","0,0","3,4",23:40,"9,8",14:20,4,"3,1","13,3",22:20,"946,1",23,"941,3",05,58.0,87.0,06:50,32.0,16:20,3195,Madrid Retiro
2023-01-22,3195,"MADRID, RETIRO",MADRID,667,"4,3","0,0","0,2",23:40,"8,4",14:30,99,"3,1","10,0",Varias,"947,5",10,"945,8",01,32.0,68.0,23:40,24.0,13:40,3195,Madrid Retiro
2023-01-23,3195,"MADRID, RETIRO",MADRID,667,"3,4","0,0","-1,8",06:20,"8,5",14:40,2,"2,8","13,6",17:10,"946,6",00,"941,2",15,58.0,81.0,06:50,37.0,14:30,3195,Madrid Retiro
2023-01-24,3195,"MADRID, RETIRO",MADRID,667,"3,0","0,0","0,2",04:40,"5,7",14:10,4,"2,5","7,5",13:40,"947,8",23,"944,0",01,56.0,67.0,04:50,51.0,13:30,3195,Madrid Retiro
2023-01-25,3195,"MADRID, RETIRO",MADRID,667,"4,7","0,1","0,3",05:00,"9,1",15:40,5,"2,2","8,6",00:50,"949,4",10,"945,9",16,54.0,70.0,05:00,37.0,15:10,3195,Madrid Retiro
2023-01-26,3195,"MADRID, RETIRO",MADRID,667,"4,5","0,0","-0,2",Varias,"9,2",13:50,2,"2,8","8,3",01:10,"946,2",00,"937,9",15,54.0,80.0,07:50,35.0,14:10,3195,Madrid Retiro
2023-01-27,3195,"MADRID, RETIRO",MADRID,667,"3,8","0,0","-1,0",06:30,"8,6",12:30,5,"4,2","13,9",12:30,"940,6",22,"937,9",14,53.0,81.0,Varias,33.0,14:40,3195,Madrid Retiro
2023-01-28,3195,"MADRID, RETIRO",MADRID,667,"4,4","0,0","-0,6",08:10,"9,3",14:40,3,"3,1","9,4",11:40,"943,9",24,"940,2",14,49.0,74.0,08:10,35.0,Varias,3195,Madrid Retiro
2023-01-29,3195,"MADRID, RETIRO",MADRID,667,"2,2","0,0","-1,6",05:40,"5,9",Varias,10,"1,9","8,9",12:00,"948,6",24,"943,7",00,56.0,77.0,05:40,44.0,16:20,3195,Madrid Retiro
2023-01-30,3195,"MADRID, RETIRO",MADRID,667,"3,6","0,0","-1,1",06:20,"8,2",16:10,5,"1,4","6,4",00:40,"951,5",23,"948,5",00,59.0,76.0,Varias,40.0,14:10,3195,Madrid Retiro
2023-01-31,3195,"MADRID, RETIRO",MADRID,667,"4,6","0,0","-1,6",07:30,"10,9",16:10,3,"1,4","5,0",23:00,"951,7",11,"948,2",16,55.0,82.0,03:30,33.0,Varias,3195,Madrid Retiro
2023-02-01,3195,"MADRID, RETIRO",MADRID,667,"6,8","0,0","1,8",07:00,"11,8",15:40,6,"1,7","7,5",07:20,"950,5",11,"947,2",16,55.0,72.0,06:40,37.0,16:30,3195,Madrid Retiro
2023-02-02,3195,"MADRID, RETIRO",MADRID,667,"7,6","0,0","2,4",06:50,"12,7",16:00,99,"1,4","7,2",Varias,"952,6",24,"949,2",00,53.0,76.0,07:40,34.0,15:50,3195,Madrid Retiro
2023-02-03,3195,"MADRID, RETIRO",MADRID,667,"8,0","0,0","0,8",08:10,"15,2",15:10,4,"0,8","5,0",00:40,"954,4",11,"951,9",04,44.0,80.0,08:10,17.0,14:30,3195,Madrid Retiro
2023-02-04,3195,"MADRID, RETIRO",MADRID,667,"9,0","0,0","1,1",07:30,"17,0",16:20,2,"1,1","5,3",19:30,"953,8",09,"950,6",16,43.0,69.0,06:30,21.0,16:10,3195,Madrid Retiro
2023-02-05,3195,"MADRID, RETIRO",MADRID,667,"10,4","0,0","4,5",02:00,"16,2",15:20,5,"1,9","8,6",07:30,"953,9",11,"949,2",24,25.0,56.0,00:30,16.0,14:10,3195,Madrid Retiro
2023-02-06,3195,"MADRID, RETIRO",MADRID,667,"6,6","0,0","2,3",07:40,"10,8",15:00,10,"3,3","12,2",11:00,"949,2",00,"943,7",16,51.0,64.0,21:10,29.0,10:50,3195,Madrid Retiro
2023-02-07,3195,"MADRID, RETIRO",MADRID,667,"5,6","1,1","2,8",07:10,"8,4",15:20,10,"1,4","8,3",19:30,"946,2",00,"940,5",16,69.0,87.0,Varias,51.0,14:50,3195,Madrid Retiro
2023-02-08,3195,"MADRID, RETIRO",MADRID,667,"6,1","0,0","2,3",05:20,"9,9",15:50,3,"2,2","9,2",08:40,"949,1",24,"943,9",00,65.0,80.0,05:20,53.0,14:50,3195,Madrid Retiro
2023-02-09,3195,"MADRID, RETIRO",MADRID,667,"7,2","0,0","4,2",05:20,"10,3",16:20,16,"0,8","6,1",21:00,"956,1",24,"948,9",Varias,63.0,83.0,07:20,43.0,14:50,3195,Madrid Retiro
2023-02-10,3195,"MADRID, RETIRO",MADRID,667,"5,5","0,0","2,0",06:20,"9,0",15:30,15,"1,9","6,4",14:20,"958,2",10,"954,5",17,56.0,80.0,06:10,39.0,15:50,3195,Madrid Retiro
2023-02-11,3195,"MADRID, RETIRO",MADRID,667,"5,8","0,0","1,3",08:00,"10,4",15:50,8,"3,1","8,1",12:10,"955,7",00,"951,1",16,55.0,72.0,07:10,40.0,16:10,3195,Madrid Retiro
2023-02-12,3195,"MADRID, RETIRO",MADRID,667,"6,6","0,0","1,9",04:10,"11,2",16:10,5,"2,5","6,9",07:10,"953,8",24,"951,1",Varias,57.0,72.0,05:30,45.0,15:30,3195,Madrid Retiro
2023-02-13,3195,"MADRID, RETIRO",MADRID,667,"6,2","0,0","2,3",07:40,"10,0",16:20,15,"2,2","6,9",14:00,"955,9",10,"952,4",16,65.0,81.0,07:30,51.0,15:00,3195,Madrid Retiro
2023-02-14,3195,"MADRID, RETIRO",MADRID,667,"7,3","0,0","4,3",07:00,"10,3",16:40,9,"2,2","6,9",06:40,"953,4",00,"948,8",16,67.0,79.0,Varias,56.0,16:20,3195,Madrid Retiro
2023-02-15,3195,"MADRID, RETIRO",MADRID,667,"9,2","0,0","5,8",Varias,"12,5",15:20,10,"1,4","5,0",02:10,"950,5",11,"948,1",16,59.0,76.0,Varias,44.0,16:00,3195,Madrid Retiro
2023-02-16,3195,"MADRID, RETIRO",MADRID,667,"9,0","0,0","3,8",07:10,"14,1",15:10,4,"1,4","5,8",Varias,"952,3",24,"949,6",17,48.0,78.0,05:20,24.0,15:30,3195,Madrid Retiro
2023-02-17,3195,"MADRID, RETIRO",MADRID,667,"9,1","0,0","3,4",07:30,"14,8",15:50,13,"1,9","7,8",22:10,"954,1",10,"950,5",Varias,42.0,66.0,07:30,24.0,15:00,3195,Madrid Retiro
2023-02-18,3195,"MADRID, RETIRO",MADRID,667,"10,0","0,0","5,8",05:30,"14,3",16:30,5,"2,5","6,1",07:10,"952,7",11,"948,8",17,37.0,50.0,23:59,31.0,11:30,3195,Madrid Retiro
2023-02-19,3195,"MADRID, RETIRO",MADRID,667,"12,8","0,0","7,9",06:00,"17,8",15:30,4,"1,7","6,4",07:30,"950,0",00,"945,7",17,44.0,60.0,06:30,30.0,14:50,3195,Madrid Retiro
2023-02-20,3195,"MADRID, RETIRO",MADRID,667,"14,0","0,0","9,1",04:20,"19,0",15:30,12,"2,2","8,1",15:40,"947,6",10,"942,8",16,38.0,65.0,03:20,22.0,15:30,3195,Madrid Retiro
2023-02-21,3195,"MADRID, RETIRO",MADRID,667,"13,0","0,0","8,6",06:50,"17,5",14:40,23,"1,1","6,4",15:40,"944,1",00,"939,5",17,44.0,65.0,Varias,35.0,14:30,3195,Madrid Retiro
2023-02-22,3195,"MADRID, RETIRO",MADRID,667,"10,8","0,0","5,9",06:00,"15,7",16:00,25,"1,4","5,6",18:00,"941,7",08,"936,6",24,57.0,79.0,05:40,41.0,15:40,3195,Madrid Retiro
2023-02-23,3195,"MADRID, RETIRO",MADRID,667,"6,2","0,0","2,7",23:59,"9,6",11:10,27,"3,3","12,8",17:10,"936,6",00,"929,9",16,68.0,86.0,07:30,43.0,14:10,3195,Madrid Retiro
2023-02-24,3195,"MADRID, RETIRO",MADRID,667,"4,7","0,0","-0,3",06:40,"9,7",16:10,99,"1,4","5,8",Varias,"934,2",09,"930,2",17,54.0,85.0,06:40,31.0,16:10,3195,Madrid Retiro
2023-02-25,3195,"MADRID, RETIRO",MADRID,667,"5,0","0,4","0,1",07:20,"9,8",13:20,1,"1,7","9,4",17:40,"930,7",00,"927,3",14,59.0,76.0,23:00,37.0,13:40,3195,Madrid Retiro
2023-02-26,3195,"MADRID, RETIRO",MADRID,667,"5,8","0,1","0,1",06:40,"11,4",15:40,4,"2,2","8,9",23:59,"934,3",24,"929,0",16,56.0,87.0,Varias,34.0,14:20,3195,Madrid Retiro
2023-02-27,3195,"MADRID, RETIRO",MADRID,667,"3,6","0,0","0,4",05:40,"6,7",14:10,4,"4,7","11,9",12:40,"939,8",23,"934,0",00,32.0,51.0,05:30,25.0,13:30,3195,Madrid Retiro
2023-02-28,3195,"MADRID, RETIRO",MADRID,667,"3,6","0,0","-1,8",05:50,"8,9",13:30,4,"2,8","10,3",16:20,"943,1",11,"939,6",00,45.0,63.0,05:50,27.0,13:40,3195,Madrid Retiro
2023-03-01,3195,"MADRID, RETIRO",MADRID,667,"2,3","0,0","-1,6",07:00,"6,2",16:20,35,"2,2","7,5",17:10,"941,7",00,"937,0",17,43.0,58.0,06:50,30.0,16:40,3195,Madrid Retiro
2023-03-02,3195,"MADRID, RETIRO",MADRID,667,"4,2","0,0","-1,6",06:10,"9,9",15:50,5,"1,4","7,5",21:00,"942,4",23,"937,4",Varias,46.0,70.0,05:50,33.0,Varias,3195,Madrid Retiro
2023-03-03,3195,"MADRID, RETIRO",MADRID,667,"6,0","0,0","0,1",06:50,"11,9",15:30,4,"1,4","8,1",18:30,"943,2",24,"939,4",15,46.0,73.0,06:40,29.0,16:40,3195,Madrid Retiro
2023-03-04,3195,"MADRID, RETIRO",MADRID,667,"6,9","0,0","1,4",06:40,"12,4",16:20,3,"1,4","5,3",07:50,"944,3",10,"940,5",16,50.0,74.0,06:50,33.0,16:20,3195,Madrid Retiro
2023-03-05,3195,"MADRID, RETIRO",MADRID,667,"6,3","4,2","2,3",06:30,"10,3",13:40,29,"1,7","8,3",15:30,"941,4",01,"935,7",24,65.0,98.0,21:20,43.0,13:50,3195,Madrid Retiro
2023-03-06,3195,"MADRID, RETIRO",MADRID,667,"9,0","0,5","4,5",03:30,"13,4",14:50,23,"3,3","8,6",17:50,"936,3",10,"933,3",24,77.0,97.0,00:30,61.0,Varias,3195,Madrid Retiro
2023-03-07,3195,"MADRID, RETIRO",MADRID,667,"12,0","1,8","8,5",05:00,"15,5",15:40,25,"3,3","10,8",10:10,"936,5",24,"931,9",Varias,75.0,99.0,04:30,51.0,15:40,3195,Madrid Retiro
2023-03-08,3195,"MADRID, RETIRO",MADRID,667,"12,6","14,3","9,5",01:30,"15,8",15:40,22,"4,2","14,2",13:20,"937,8",22,"934,9",05,77.0,99.0,Varias,63.0,15:50,3195,Madrid Retiro
2023-03-09,3195,"MADRID, RETIRO",MADRID,667,"14,0","1,1","10,9",07:00,"17,2",15:20,25,"3,9","16,1",14:20,"940,9",24,"935,5",15,74.0,99.0,Varias,54.0,14:10,3195,Madrid Retiro
2023-03-10,3195,"MADRID, RETIRO",MADRID,667,"13,6","0,1","8,6",06:40,"18,7",16:10,30,"2,8","11,9",01:40,"946,6",23,"940,8",00,62.0,90.0,23:50,44.0,15:50,3195,Madrid Retiro
2023-03-11,3195,"MADRID, RETIRO",MADRID,667,"14,4","0,0","8,9",06:10,"19,8",15:00,31,"3,1","11,1",19:10,"946,2",00,"943,0",15,72.0,99.0,Varias,46.0,15:10,3195,Madrid Retiro
2023-03-12,3195,"MADRID, RETIRO",MADRID,667,"15,2","0,0","9,8",07:00,"20,6",16:30,31,"1,1","8,3",01:00,"945,9",10,"941,6",24,66.0,91.0,07:00,49.0,14:30,3195,Madrid Retiro
2023-03-13,3195,"MADRID, RETIRO",MADRID,667,"15,0","0,0","10,1",07:10,"19,9",13:50,25,"4,2","18,9",15:40,"941,8",24,"936,7",16,66.0,94.0,07:00,39.0,14:20,3195,Madrid Retiro
2023-03-14,3195,"MADRID, RETIRO",MADRID,667,"12,2","0,0","7,2",06:20,"17,2",14:40,28,"2,8","10,8",02:40,"944,7",10,"941,5",04,44.0,65.0,06:10,29.0,13:30,3195,Madrid Retiro
2023-03-15,3195,"MADRID, RETIRO",MADRID,667,"13,2","0,0","7,0",07:00,"19,3",16:40,15,"1,1","4,2",12:00,"943,8",00,"939,1",24,45.0,70.0,05:10,25.0,15:30,3195,Madrid Retiro
2023-03-16,3195,"MADRID, RETIRO",MADRID,667,"16,0","0,0","9,3",05:20,"22,8",16:00,27,"1,9","5,8",16:50,"939,2",00,"932,7",18,40.0,63.0,04:20,22.0,15:10,3195,Madrid Retiro
2023-03-17,3195,"MADRID, RETIRO",MADRID,667,"13,4","0,0","10,4",23:59,"16,5",15:40,99,"4,2","12,5",Varias,"937,9",22,"934,0",00,54.0,84.0,07:50,34.0,14:00,3195,Madrid Retiro
2023-03-18,3195,"MADRID, RETIRO",MADRID,667,"11,0","0,0","6,5",06:50,"15,6",14:50,28,"1,9","11,4",15:00,"941,4",23,"937,3",02,63.0,91.0,Varias,42.0,14:50,3195,Madrid Retiro
2023-03-19,3195,"MADRID, RETIRO",MADRID,667,"12,8","0,0","7,6",05:30,"18,0",13:50,6,"1,4","6,7",14:50,"945,6",23,"941,1",00,47.0,83.0,Varias,26.0,14:30,3195,Madrid Retiro
2023-03-20,3195,"MADRID, RETIRO",MADRID,667,"13,4","0,0","7,0",06:20,"19,8",16:00,26,"1,7","5,3",14:00,"945,6",09,"941,6",17,41.0,66.0,23:59,24.0,16:10,3195,Madrid Retiro
2023-03-21,3195,"MADRID, RETIRO",MADRID,667,"14,5","0,0","8,1",05:30,"20,9",16:00,24,"1,4","5,0",14:50,"942,2",10,"938,6",17,41.0,69.0,04:40,25.0,14:40,3195,Madrid Retiro
2023-03-22,3195,"MADRID, RETIRO",MADRID,667,"15,1","0,0","8,6",06:50,"21,6",15:20,24,"2,2","8,3",15:40,"940,5",10,"937,5",16,40.0,68.0,03:00,19.0,16:30,3195,Madrid Retiro
2023-03-23,3195,"MADRID, RETIRO",MADRID,667,"14,8","0,0","8,3",06:30,"21,2",13:40,25,"2,5","10,6",16:00,"939,6",Varias,"937,4",15,41.0,71.0,07:10,16.0,15:30,3195,Madrid Retiro
2023-03-24,3195,"MADRID, RETIRO",MADRID,667,"14,4","0,0","9,9",06:30,"19,0",15:50,27,"1,9","7,5",10:20,"945,0",23,"939,0",00,68.0,90.0,23:59,51.0,Varias,3195,Madrid Retiro
2023-03-25,3195,"MADRID, RETIRO",MADRID,667,"14,6","0,0","8,4",07:40,"20,7",15:50,25,"1,9","10,3",21:30,"946,4",10,"942,3",17,54.0,99.0,Varias,19.0,15:30,3195,Madrid Retiro
2023-03-26,3195,"MADRID, RETIRO",MADRID,667,"15,1","0,0","9,5",06:30,"20,7",14:10,27,"3,3","12,2",12:40,"945,5",23,"942,0",04,41.0,86.0,06:30,12.0,14:20,3195,Madrid Retiro
2023-03-27,3195,"MADRID, RETIRO",MADRID,667,"13,6","0,0","7,2",06:30,"19,9",16:20,10,"1,7","7,2",08:10,"946,7",11,"943,3",17,35.0,61.0,06:30,20.0,14:10,3195,Madrid Retiro
2023-03-28,3195,"MADRID, RETIRO",MADRID,667,"15,6","0,0","8,3",04:40,"22,9",15:40,6,"1,7","5,8",01:10,"947,5",09,"944,9",Varias,26.0,46.0,04:30,13.0,15:30,3195,Madrid Retiro
2023-03-29,3195,"MADRID, RETIRO",MADRID,667,"17,9","0,0","10,6",06:30,"25,2",14:30,22,"1,7","7,2",15:10,"947,1",09,"942,6",18,29.0,47.0,07:30,18.0,14:20,3195,Madrid Retiro
2023-03-30,3195,"MADRID, RETIRO",MADRID,667,"16,8","0,0","11,5",05:10,"22,0",14:10,24,"3,3","12,8",16:20,"947,1",10,"944,0",16,49.0,65.0,05:10,29.0,15:30,3195,Madrid Retiro
2023-03-31,3195,"MADRID, RETIRO",MADRID,667,"16,0","0,0","11,2",06:50,"20,9",15:30,27,"3,9","11,7",17:50,"946,0",00,"942,4",17,58.0,72.0,08:00,42.0,16:10,3195,Madrid Retiro
2023-04-01,3195,"MADRID, RETIRO",MADRID,667,"14,7","0,0","10,3",06:00,"19,1",15:20,32,"3,3","13,9",16:40,"945,1",09,"941,4",16,46.0,60.0,02:20,37.0,Varias,3195,Madrid Retiro
2023-04-02,3195,"MADRID, RETIRO",MADRID,667,"12,2","0,0","5,8",Varias,"18,5",14:20,99,"2,2","8,9",Varias,"947,6",09,"944,6",00,36.0,63.0,06:50,20.0,15:40,3195,Madrid Retiro
2023-04-03,3195,"MADRID, RETIRO",MADRID,667,"12,2","0,0","5,1",06:10,"19,3",14:40,5,"1,1","6,9",00:20,"945,4",00,"935,5",19,32.0,56.0,05:40,14.0,15:40,3195,Madrid Retiro
2023-04-04,3195,"MADRID, RETIRO",MADRID,667,"14,5","0,0","8,3",06:30,"20,7",14:50,9,"3,9","12,2",18:10,"941,2",22,"935,0",03,,,,,,3195,Madrid Retiro
2023-04-05,3195,"MADRID, RETIRO",MADRID,667,"13,4","0,0","5,7",06:50,"21,1",14:40,4,"2,2","8,3",00:10,"942,4",09,"938,1",17,,,,,,3195,Madrid Retiro
2023-04-06,3195,"MADRID, RETIRO",MADRID,667,"16,2","0,0","9,1",06:30,"23,3",13:50,99,"1,9","7,5",Varias,"941,7",10,"938,6",18,20.0,38.0,08:50,10.0,15:00,3195,Madrid Retiro
2023-04-07,3195,"MADRID, RETIRO",MADRID,667,"16,7","0,0","9,2",06:10,"24,2",14:10,25,"1,9","7,8",15:30,"940,8",08,"937,0",16,23.0,48.0,21:40,13.0,14:20,3195,Madrid Retiro
2023-04-08,3195,"MADRID, RETIRO",MADRID,667,"17,6","0,0","9,3",06:20,"26,0",13:50,18,"1,4","5,3",15:30,"941,0",09,"938,2",Varias,26.0,52.0,06:00,14.0,14:00,3195,Madrid Retiro
2023-04-09,3195,"MADRID, RETIRO",MADRID,667,"18,6","0,0","10,6",06:20,"26,5",15:20,24,"1,7","8,9",15:50,"944,2",23,"940,4",00,32.0,58.0,05:30,15.0,Varias,3195,Madrid Retiro
2023-04-10,3195,"MADRID, RETIRO",MADRID,667,"19,0","0,0","11,9",06:20,"26,2",15:00,33,"1,7","8,1",21:20,"946,0",11,"943,4",Varias,30.0,62.0,07:20,12.0,15:40,3195,Madrid Retiro
2023-04-11,3195,"MADRID, RETIRO",MADRID,667,"18,6","0,0","11,3",05:50,"25,9",15:20,21,"1,7","8,9",15:50,"945,6",00,"939,4",24,33.0,67.0,06:20,16.0,16:10,3195,Madrid Retiro
2023-04-12,3195,"MADRID, RETIRO",MADRID,667,"15,0","0,0","10,0",23:50,"20,0",11:10,25,"3,1","11,9",15:10,"939,6",00,"936,1",Varias,51.0,81.0,06:10,30.0,12:30,3195,Madrid Retiro
2023-04-13,3195,"MADRID, RETIRO",MADRID,667,"11,4","0,0","6,9",05:40,"15,9",Varias,35,"3,6","11,7",15:20,"942,3",21,"938,5",00,38.0,58.0,05:20,26.0,12:10,3195,Madrid Retiro
2023-04-14,3195,"MADRID, RETIRO",MADRID,667,"14,1","0,0","8,9",06:00,"19,3",14:00,29,"4,7","14,4",18:10,"941,9",24,"938,3",18,49.0,64.0,Varias,40.0,Varias,3195,Madrid Retiro
2023-04-15,3195,"MADRID, RETIRO",MADRID,667,"16,7","0,0","10,1",05:50,"23,3",15:00,4,"1,4","12,8",22:40,"944,3",24,"941,4",02,41.0,65.0,Varias,27.0,Varias,3195,Madrid Retiro
2023-04-16,3195,"MADRID, RETIRO",MADRID,667,"17,2","0,0","10,5",06:30,"24,0",15:20,4,"2,5","15,0",02:20,"944,6",07,"939,6",17,35.0,63.0,05:40,16.0,17:40,3195,Madrid Retiro
2023-04-17,3195,"MADRID, RETIRO",MADRID,667,"17,9","0,0","10,7",06:00,"25,1",14:00,3,"2,5","9,7",23:10,"940,4",00,"935,0",17,22.0,38.0,01:10,16.0,Varias,3195,Madrid Retiro
2023-04-18,3195,"MADRID, RETIRO",MADRID,667,"15,9","0,0","8,9",06:20,"22,9",14:30,5,"2,2","9,2",06:40,"937,2",02,"932,8",17,30.0,56.0,23:59,16.0,14:30,3195,Madrid Retiro
2023-04-19,3195,"MADRID, RETIRO",MADRID,667,"17,1","0,0","10,4",06:20,"23,8",15:30,16,"1,1","6,1",00:10,"937,6",09,"933,9",18,38.0,65.0,Varias,19.0,15:40,3195,Madrid Retiro
2023-04-20,3195,"MADRID, RETIRO",MADRID,667,"19,3","0,0","11,6",05:30,"27,0",14:10,23,"2,2","8,6",16:50,"935,7",00,"930,8",17,31.0,57.0,04:00,18.0,14:30,3195,Madrid Retiro
2023-04-21,3195,"MADRID, RETIRO",MADRID,667,"18,8","7,3","12,1",06:10,"25,5",12:50,26,"1,9","10,8",16:40,"932,0",24,"927,9",16,42.0,63.0,Varias,24.0,14:40,3195,Madrid Retiro
2023-04-22,3195,"MADRID, RETIRO",MADRID,667,"16,2","0,5","12,0",06:10,"20,5",14:40,29,"2,8","8,6",16:10,"938,5",24,"931,7",02,55.0,98.0,07:30,24.0,16:10,3195,Madrid Retiro
2023-04-23,3195,"MADRID, RETIRO",MADRID,667,"16,2","0,0","9,1",05:40,"23,3",13:40,35,"2,2","12,5",22:30,"940,0",24,"937,2",16,50.0,84.0,06:10,29.0,13:40,3195,Madrid Retiro
2023-04-24,3195,"MADRID, RETIRO",MADRID,667,"18,4","0,0","11,6",05:50,"25,1",14:30,32,"1,9","7,5",00:50,"941,6",08,"938,5",16,47.0,84.0,06:20,28.0,14:30,3195,Madrid Retiro
