fecha,indicativo,nombre,provincia,altitud,prec,idema,nombre_estacion,hrMax,horaHrMax,hrMin,horaHrMin,hrMedia
2024-01-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",3194U,Ciudad Universitaria,,,,,
2024-01-02,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"1,6",3194U,Ciudad Universitaria,,,,,
2024-01-03,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"2,1",3194U,Ciudad Universitaria,,,,,
2024-01-04,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"5,0",3194U,Ciudad Universitaria,,,,,
2024-01-05,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",3194U,Ciudad Universitaria,,,,,
2024-01-06,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",3194U,Ciudad Universitaria,,,,,
2024-01-07,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",3194U,Ciudad Universitaria,,,,,
2024-01-08,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",3194U,Ciudad Universitaria,,,,,
2024-01-09,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",3194U,Ciudad Universitaria,,,,,
2024-01-10,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,2",3194U,Ciudad Universitaria,,,,,
2024-01-11,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",3194U,Ciudad Universitaria,,,,,
2024-01-12,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",3194U,Ciudad Universitaria,,,,,
2024-01-13,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",3194U,Ciudad Universitaria,,,,,
2024-01-14,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"4,8",3194U,Ciudad Universitaria,,,,,
